Bottom Elev (ft),Top Elev (ft),Trail Name,Vertical Drop (ft),Difficulty,Resort,Slope Length (ft),Average Steepness
8091.0,8333.0,D-7,243.0,black,Alpine Meadows,495.0,0.4909090909090909
8009.0,8274.0,D-8,266.0,black,Alpine Meadows,514.0,0.5175097276264592
7923.0,8176.0,Estelle Bowl,253.0,black,Alpine Meadows,338.0,0.7485207100591716
7680.0,7835.0,Expert Shortcut,154.0,black,Alpine Meadows,346.0,0.44508670520231214
7421.0,7808.0,Face Cliffs,387.0,black,Alpine Meadows,792.0,0.48863636363636365
7808.0,8077.0,Gentian Gully,269.0,black,Alpine Meadows,1478.4,0.1819534632034632
8189.0,8333.0,Grouse Saddle,148.0,black,Alpine Meadows,200.0,0.74
7569.0,7930.0,Hidden Knolls,361.0,black,Alpine Meadows,792.0,0.45580808080808083
8491.0,8537.0,High Traverse to Sherwood,49.0,black,Alpine Meadows,792.0,0.06186868686868687
7989.0,8261.0,High Yellow Face,269.0,black,Alpine Meadows,686.4,0.3918997668997669
7559.0,7854.0,High Yellow Gully,295.0,black,Alpine Meadows,686.4,0.4297785547785548
7169.0,7444.0,Hot Wheels Gully,276.0,black,Alpine Meadows,1320.0,0.20909090909090908
8225.0,8373.0,Idiot's Delight,148.0,black,Alpine Meadows,202.0,0.7326732673267327
8071.0,8435.0,Keyhole,367.0,black,Alpine Meadows,468.0,0.7841880341880342
7434.0,7769.0,Lower 40 Face,335.0,black,Alpine Meadows,686.4,0.48805361305361306
7011.0,7277.0,Lower 40 Gully,266.0,black,Alpine Meadows,580.8,0.4579889807162535
7956.0,8156.0,Lower Beaver Entrance,200.0,black,Alpine Meadows,580.8,0.34435261707988984
8130.0,8317.0,Lower Saddle,187.0,black,Alpine Meadows,407.0,0.4594594594594595
7907.0,8166.0,North Peril,259.0,black,Alpine Meadows,484.0,0.5351239669421488
7894.0,8012.0,Our Father,118.0,black,Alpine Meadows,217.0,0.543778801843318
7949.0,8448.0,Palisades,499.0,black,Alpine Meadows,1267.2,0.39378156565656564
8120.0,8294.0,Peril Ridge,171.0,black,Alpine Meadows,686.4,0.24912587412587414
7904.0,8150.0,Peter's Peril,246.0,black,Alpine Meadows,528.0,0.4659090909090909
7421.0,7615.0,Poma Rocks,194.0,black,Alpine Meadows,448.0,0.4330357142857143
6932.0,7142.0,Pond Slope,213.0,black,Alpine Meadows,897.6,0.23729946524064172
7241.0,7720.0,Promised Land,479.0,black,Alpine Meadows,739.2,0.6479978354978354
8031.0,8232.0,S.P. Bowl,200.0,black,Alpine Meadows,408.0,0.49019607843137253
7067.0,8061.0,Scott Chute,994.0,black,Alpine Meadows,1900.8,0.5229377104377104
