Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Black,Blue,Double Black,Green,Terrain Park,Price,Total Runs
East Gully,11545.0,11755.0,210.0,480.0,Blue,Arapahoe Basin,0.4375,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Elk Meadows,11562.0,11755.0,197.0,792.0,Blue,Arapahoe Basin,0.2487373737373737,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Gentry,11831.0,11998.0,171.0,452.0,Blue,Arapahoe Basin,0.3783185840707965,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Gracie's Grove,10843.0,10915.0,69.0,294.0,Blue,Arapahoe Basin,0.2346938775510204,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Grizzly Road,11539.0,12110.0,568.0,2112.0,Blue,Arapahoe Basin,0.2689393939393939,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
High Noon,10883.0,11411.0,528.0,1848.0,Blue,Arapahoe Basin,0.2857142857142857,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Humbug,12142.0,12457.0,315.0,1425.6,Blue,Arapahoe Basin,0.22095959595959594,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Independence,11542.0,11827.0,285.0,1108.8,Blue,Arapahoe Basin,0.2570346320346321,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Jamie's Face,11791.0,11959.0,167.0,406.0,Blue,Arapahoe Basin,0.4113300492610837,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
King Cornice,11883.0,12110.0,226.0,580.8,Blue,Arapahoe Basin,0.3891184573002755,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Knolls,11896.0,12244.0,351.0,1003.2,Blue,Arapahoe Basin,0.3498803827751196,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Larkspur,11407.0,12448.0,1040.0,4171.2,Blue,Arapahoe Basin,0.24932873034138855,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Lenawee Face,12054.0,12421.0,367.0,1795.2,Blue,Arapahoe Basin,0.20443404634581105,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Lenawee Parks,11640.0,12077.0,440.0,1214.4,Blue,Arapahoe Basin,0.3623188405797101,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Loafer,11001.0,12470.0,1467.0,1.04,Blue,Arapahoe Basin,1410.5769230769229,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Lynx Lane,11480.0,11526.0,43.0,425.0,Blue,Arapahoe Basin,0.1011764705882353,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Miner's Glade,11539.0,11808.0,266.0,1689.6,Blue,Arapahoe Basin,0.1574337121212121,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Moose Hollow,10958.0,11040.0,82.0,633.6,Blue,Arapahoe Basin,0.1294191919191919,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
