Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Percent Blacks,Percent Blues,Percent Double Blacks,Percent Greens,Percent Terrain Parks,Price,Total Runs,Location
Gauthier,11125,11460,335,528,Double Black,Arapahoe Basin,0.63,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Groswold,11857,12277,420,686,Double Black,Arapahoe Basin,0.61,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Hershey Highway,12116,12592,476,633,Double Black,Arapahoe Basin,0.75,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Hidden Chute,12365,12559,190,242,Double Black,Arapahoe Basin,0.79,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
International,10840,11827,984,2112,Double Black,Arapahoe Basin,0.47,Groomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Janitors Only,10735,11083,348,528,Double Black,Arapahoe Basin,0.66,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Jet Chute,12510,12703,197,231,Double Black,Arapahoe Basin,0.85,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Jump,11870,12218,348,580,Double Black,Arapahoe Basin,0.6,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Land of the Giants,11654,11824,171,478,Double Black,Arapahoe Basin,0.36,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Lightning Trees,11273,11565,289,633,Double Black,Arapahoe Basin,0.46,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Lower East Wall,11506,11703,194,528,Double Black,Arapahoe Basin,0.37,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Lower Elephant's Trunk,10807,11969,1161,3432,Double Black,Arapahoe Basin,0.34,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Max,12073,12303,230,366,Double Black,Arapahoe Basin,0.63,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Middle Y Chute,11949,12100,151,197,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
My Chute,11493,11732,240,385,Double Black,Arapahoe Basin,0.62,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Narrow North Pole,12192,12444,253,336,Double Black,Arapahoe Basin,0.75,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
North Falls,12218,12539,322,417,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
North Glade,11581,11877,292,507,Double Black,Arapahoe Basin,0.58,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
North Pole,12149,12405,253,362,Double Black,Arapahoe Basin,0.7,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
North Pole Coulair,12398,12608,210,242,Double Black,Arapahoe Basin,0.87,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
North Y Chute,11880,12188,308,424,Double Black,Arapahoe Basin,0.73,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Pali Cornice,11467,12119,650,1584,Double Black,Arapahoe Basin,0.41,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Pali Face,11414,11732,318,503,Double Black,Arapahoe Basin,0.63,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Pali Main Street,11027,12037,1010,1953,Double Black,Arapahoe Basin,0.52,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Pali Wog,10791,11096,305,2270,Double Black,Arapahoe Basin,0.13,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Pallavinci,11811,11942,131,233,Double Black,Arapahoe Basin,0.56,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Rock Garden,10994,11306,315,633,Double Black,Arapahoe Basin,0.5,Groomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Rollercoaster,11155,11506,351,739,Double Black,Arapahoe Basin,0.47,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Schauffler,11716,12234,518,1108,Double Black,Arapahoe Basin,0.47,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Sex Favors,12510,12762,249,260,Double Black,Arapahoe Basin,0.96,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Snorkel Nose,12277,12582,305,394,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
South Falls,12260,12533,269,340,Double Black,Arapahoe Basin,0.79,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
South Y Chute,11903,12221,322,419,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Steep Gully 1,10528,11578,1053,1742,Double Black,Arapahoe Basin,0.6,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Steep Gully 2,10538,11722,1184,1953,Double Black,Arapahoe Basin,0.61,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
